Employee_Id,checkInDate,check_in,check_out
14,08/01/2023,-,22:00:20
14,08/02/2023,-,21:53:47
14,08/03/2023,12:12:47,21:06:56
14,08/04/2023,12:14:33,21:08:31
14,08/05/2023,12:07:52,22:20:20
14,08/07/2023,12:08:44,22:12:03
14,08/08/2023,12:09:00,21:53:31
14,08/09/2023,12:08:00,-
14,08/10/2023,12:09:54,-
14,08/11/2023,12:25:37,23:27:12
14,08/12/2023,12:24:13,22:47:08
14,8/15/2023,12:05:14,21:43:07
14,8/16/2023,12:05:25,21:18:59
14,8/17/2023,12:03:57,1:26:19
14,8/18/2023,12:10:56,20:58:19
14,8/19/2023,11:15:29,21:01:38
14,8/21/2023,11:55:34,21:41:30
14,8/22/2023,12:05:39,20:51:39
16,08/01/2023,11:11:20,-
16,08/02/2023,11:03:45,21:13:15
16,08/03/2023,11:03:45,21:15:27
16,08/04/2023,11:29:00,21:05:35
16,08/05/2023,11:19:08,21:46:16
16,08/07/2023,11:32:57,21:16:36
16,08/08/2023,11:17:28,22:14:04
16,08/09/2023,11:05:01,21:01:11
16,08/10/2023,11:17:57,21:57:55
16,08/11/2023,11:19:11,22:06:37
16,08/12/2023,10:55:38,20:59:35
16,8/15/2023,11:29:11,21:56:04
16,8/16/2023,11:29:39,21:48:36
16,8/17/2023,11:31:54,21:23:44
16,8/18/2023,11:15:34,21:36:33
16,8/19/2023,11:06:56,21:04:10
16,8/21/2023,11:14:28,22:04:11
16,8/22/2023,11:17:18,21:20:26
17,08/01/2023,11:58:58,23:25:27
17,08/02/2023,12:22:39,22:17:15
17,08/03/2023,11:50:56,22:56:31
17,08/04/2023,12:19:41,21:52:43
17,08/05/2023,12:03:14,23:06:54
17,08/07/2023,11:48:18,23:21:44
17,08/08/2023,12:16:01,22:26:25
17,08/09/2023,12:04:10,23:06:11
17,08/10/2023,11:53:45,22:01:59
17,08/11/2023,12:46:28,22:27:56
17,08/12/2023,12:14:19,23:43:00
17,8/15/2023,12:39:12,22:24:27
17,8/16/2023,12:15:49,22:19:48
17,8/17/2023,12:14:25,20:33:40
17,8/18/2023,12:17:20,21:41:29
17,8/19/2023,11:52:55,21:23:43
17,8/21/2023,11:58:59,21:48:13
17,8/22/2023,12:00:29,21:58:02
18,08/01/2023,10:41:59,20:46:55
18,08/02/2023,10:44:38,20:44:47
18,08/03/2023,10:55:18,-
18,08/04/2023,10:42:16,20:51:56
18,08/05/2023,10:47:07,20:29:49
18,08/07/2023,10:41:57,20:44:07
18,08/08/2023,10:53:17,20:51:18
18,08/09/2023,10:41:42,20:43:05
18,08/10/2023,10:38:54,20:43:48
18,08/11/2023,10:41:25,20:40:56
18,08/12/2023,10:45:24,20:37:16
18,8/15/2023,10:45:32,20:46:32
18,8/16/2023,10:35:39,20:40:52
18,8/17/2023,10:46:23,20:34:12
18,8/18/2023,10:49:24,20:46:42
18,8/19/2023,10:31:55,20:39:15
18,8/21/2023,10:40:02,20:46:44
18,8/22/2023,10:42:44,20:47:47
19,08/01/2023,11:49:16,21:40:21
19,08/02/2023,11:36:17,21:13:29
19,08/03/2023,11:30:08,-
